IP ADDR            PORT                APPLICATION                                 CLASS  DPI/AppMap  IDLE TIME MS
40.82.248.225       443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        521186
10.16.65.15          53                    APP_DNS             APP_CLASS_NETWORK_SERVICE         APM         71244
165.160.32.86       443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI         36502
10.71.114.60      15725                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        107400
10.245.58.64         53                    APP_DNS             APP_CLASS_NETWORK_SERVICE         APM        241780
192.168.1.120      7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        463438
10.71.114.60      20364                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI         97410
10.71.114.60       9121                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        164645
10.71.114.60      21715                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        418768
216.58.214.10       443                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        182206
34.209.16.253       443                APP_MOZILLA                         APP_CLASS_WEB         DPI           623
77.55.156.153       443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        202009
10.20.36.194      57929                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        186491
34.212.63.68       9930                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        209151
10.71.114.60       9345                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        338068
13.89.178.26        443              APP_MICROSOFT                         APP_CLASS_WEB         DPI         98571
10.71.114.60      26379                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        414474
10.15.1.65        62931                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        200493
10.71.114.60      29260                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        592346
51.104.167.255      443    APP_WINDOWS_MARKETPLACE                         APP_CLASS_WEB         DPI        165310
10.71.114.60      45920                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        313599
20.190.160.20       443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        391937
142.251.36.34       443             APP_GOOGLE_ADS                         APP_CLASS_WEB         DPI        437393
17.253.107.204       80             APP_GOOGLE_API                         APP_CLASS_WEB         DPI        280040
104.80.20.113       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        348812
172.217.168.202     443                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI         56133
52.114.74.212       443               APP_MS_TEAMS  APP_CLASS_INTERNET_INSTANT_MESSAGING         DPI        473854
20.42.65.88         443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        259002
10.29.0.5         57372                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        372628
10.102.104.125     7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        485078
147.161.249.79     7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI         66393
52.98.214.18        443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        527712
23.61.231.229       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        191229
51.104.30.131      8883                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI         46351
54.170.153.208      443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        310455
10.71.114.60      48793                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        230304
52.39.184.169      9930                    APP_WTP             APP_CLASS_NETWORK_SERVICE         DPI          6420
10.71.114.60      33544                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI         85042
10.71.114.60      31503                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        352003
10.71.122.53        443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        118857
10.71.113.243         0                   APP_ICMP             APP_CLASS_NETWORK_SERVICE         DPI          1940
172.217.20.202      443             APP_GOOGLE_API                         APP_CLASS_WEB         DPI        402240
192.168.1.2         443                    APP_SSH           APP_CLASS_TUNNELING_AND_VPN         DPI         44832
20.82.19.171        443              APP_MICROSOFT                         APP_CLASS_WEB         DPI         96398
10.20.33.13       51446                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        281144
8.8.4.4             853                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        329066
10.71.50.102          0                   APP_ICMP             APP_CLASS_NETWORK_SERVICE         DPI        564110
10.71.114.60      41594                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        356003
185.26.182.112      443           APP_OPERA_UPDATE                         APP_CLASS_WEB         DPI        119803
10.71.114.60      44814                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        179855
10.72.54.13        9990                 APP_SPLUNK                         APP_CLASS_WEB         DPI         33734
10.71.114.60      32401                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        352339
10.2.38.40         7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        324264
40.101.121.2        443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        473751
10.71.114.119     60718                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        107062
10.71.114.60      25446                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        132017
13.107.138.9        443      APP_SHAREPOINT_ONLINE        APP_CLASS_BUSINESS_APPLICATION         DPI        233854
