SRC_IP                  DEST_IP  SRC_PORT  DEST_PORT  PROTO  DSCP                                                   APP    TCP_STATE      RULE  BYTES_SENT  BYTES_RCVD  DURATION_SECS
10.239.30.58      52.39.184.169     36575       9930     17     0                                                   wtp          N/A  AllowAny          95         128              0
10.239.30.24       87.116.46.90     60908        443      6     0                                                   ssl      CLOSING  AllowAny         878        2206              0
10.239.30.157         10.9.0.52     36307        389     17     0                                                  ldap          N/A  AllowAny         109           0              0
10.239.30.152       10.71.50.53     59249         53     17     0                                                   dns          N/A  AllowAny          89         171              0
10.239.30.23      185.46.213.65     56786         80      6     0                                                  http      CLOSING  AllowAny         511        5063              0
10.239.30.152       10.71.50.53     59424         53     17     0                                                   dns          N/A  AllowAny          76          92              0
10.239.30.21      20.190.159.19     53658        443      6     0                                             office365       CLOSED  AllowAny        7232       11332              1
10.239.30.24       87.116.46.90     60909         80      6     0                                                  http       CLOSED  AllowAny         487         571             44
10.239.30.157    192.168.200.26     45004        389     17     0                                                  ldap          N/A  AllowAny         109           0              0
192.168.0.196      40.99.150.98     39052        443      6     0                                             office365       CLOSED  AllowAny        4994       11474             93
10.239.30.152      10.71.112.84     53625         88      6     0                                                  krb5       CLOSED  AllowAny        2063         309              0
10.239.30.18      18.195.205.47     54671        443      6     0                                                 https  ESTABLISHED  AllowAny     9006155      259765           5660
10.71.100.11      10.239.30.152     54319      57495      6     0                                                  krb5      CLOSING  AllowAny      278895        8270             48
10.239.30.115     108.138.36.78     64566        443      6     0                                                  onet  ESTABLISHED  AllowAny        3459      145924             90
10.239.31.178      20.189.173.1     61875        443      6     0                                             Microsoft      CLOSING  AllowAny        8986        8274            124
192.168.0.115    52.113.194.132     54916        443      6     0                                       Microsoft Teams       CLOSED  AllowAny        5869        7552             12
10.20.49.86       10.239.30.155     52842      65352      6     0                                                dcerpc  ESTABLISHED  AllowAny      267561      284308           8299
10.239.30.152       10.71.50.53     58632         53     17     0                                                   dns          N/A  AllowAny          80          96              0
10.239.30.121      100.21.10.50      4307       9930     17     0                                                   udp          N/A  AllowAny         100          88              0
10.239.30.152      10.71.112.84     53676         88      6     0                                                  krb5       CLOSED  AllowAny        2663         269              0
10.239.31.178      142.251.36.3     49296        443     17     0                                                   udp          N/A  AllowAny        2268        3164              0
10.239.30.152       10.71.50.53     59599         53     17     0                                                   dns          N/A  AllowAny          84         150              0
SRC_IP                  DEST_IP  SRC_PORT  DEST_PORT  PROTO  DSCP                                                   APP    TCP_STATE      RULE  BYTES_SENT  BYTES_RCVD  DURATION_SECS
10.239.30.152       10.71.50.53     59006         53     17     0                                                   dns          N/A  AllowAny          85         181              0
10.239.30.152       10.71.50.53     59490         53     17     0                                                   dns          N/A  AllowAny         111         215              0
10.239.30.152       10.71.50.53     59623         53     17     0                                                   dns          N/A  AllowAny          83         147              0
10.239.30.115     104.22.57.185     50916        443     17     0                                                   udp          N/A  AllowAny       36645     1406310              4
10.239.30.19      10.230.134.18     60851         53     17     0                                                   dns          N/A  AllowAny          71          87              0
10.239.30.151    18.158.134.131     63213        443      6     0                                                 https  ESTABLISHED  AllowAny      203115      548598           1920
10.239.30.121      52.32.28.115      4225       9930     17     0                                                   udp          N/A  AllowAny         100          82              0
10.239.30.25       148.139.7.68     56560        443      6     0                                           Service Now  ESTABLISHED  AllowAny      251492      797412           1130
10.239.30.24       13.107.138.9     61172        443      6     0                                     sharepoint_online       CLOSED  AllowAny       22501       25070             96
10.239.30.23     172.67.184.146     64314        443     17     0                                                   udp          N/A  AllowAny        2553        3886              0
10.239.30.152      10.34.230.11     59304         53     17     0                                                   dns          N/A  AllowAny          97           0              0
10.20.36.194      10.239.30.155     58057        445      6     0                                                dcerpc       CLOSED  AllowAny        7416       12346             16
10.239.30.152       10.71.50.53     58395         53     17     0                                                   dns          N/A  AllowAny          85         138              0
10.239.30.64     52.114.133.163     60712        443      6     0                                       Microsoft Teams       CLOSED  AllowAny        4788        8009            127
10.239.30.152       10.71.50.53     59318         53     17     0                                                   dns          N/A  AllowAny         123         245              0
10.239.30.157     10.236.19.100     34657        389      6     0                                                  ldap       CLOSED  AllowAny        2570        1831            953
10.239.30.21      10.72.112.160     64713      10123      6     0                                                   ssl  ESTABLISHED  AllowAny        4208        4575           5401
10.239.30.155      10.24.112.43     63069       5508      6     0                                                   tcp     SYN_SENT  AllowAny         152           0              9
192.168.0.18            8.8.4.4     50235         53     17     0                                                   dns          N/A  AllowAny          71         230              0
10.71.114.60      10.239.30.178      4979        161     17     0                                                  snmp          N/A  AllowAny         951         672              0
10.239.30.64     18.158.134.131     60694        443      6     0                                                   ssl  ESTABLISHED  AllowAny       10476       55256            185
10.239.30.152       10.71.50.53     59253         53     17     0                                                   dns          N/A  AllowAny          73         125              0
10.239.30.121      100.21.10.50      4304       9930     17     0                                                   udp          N/A  AllowAny         100          90              0
10.239.30.24      3.120.221.108     60912        443      6     0                                                amazon  ESTABLISHED  AllowAny       12838       12882            252
10.239.30.152       10.71.50.53     59525         53     17     0                                                   dns          N/A  AllowAny          75         167              0
10.239.30.25       13.110.41.97     55832        443      6    18                                            salesforce  ESTABLISHED  AllowAny       57672       21934           2866
10.239.30.23      172.67.147.40     52051        443     17     0                                                   udp          N/A  AllowAny        4977        6741             30
10.239.30.152      10.71.112.84     53589         88      6     0                                                  krb5       CLOSED  AllowAny        2662         309              0
10.239.30.152     10.71.112.196     54193      55675      6     0                                                  krb5  ESTABLISHED  AllowAny       33075       24804         168040
10.239.30.152       10.71.50.53     58736         53     17     0                                                   dns          N/A  AllowAny         110         126              0
10.239.30.152   205.251.197.181     59564         53     17     0                                                   dns          N/A  AllowAny          85         254              0
10.239.30.152      10.71.112.84     53580         88      6     0                                                  krb5       CLOSED  AllowAny        2662         309              0
10.239.30.152       10.23.50.53     60110         53     17     0                                                   dns          N/A  AllowAny          99         145              0
10.239.30.23    142.250.179.163     54376        443     17     0                                                   udp          N/A  AllowAny        5201        4119              0
10.239.30.152       10.71.50.53     59900         53     17     0                                                   dns          N/A  AllowAny          86         255              0
10.239.30.152       10.71.50.53     64181         53     17     0                                                   dns          N/A  AllowAny          77         211              0
10.239.30.24        13.89.179.9     61428        443      6     0                                             Microsoft  ESTABLISHED  AllowAny       20483        9803             93
10.239.30.58      52.39.184.169     40014       9930     17     0                                                   wtp          N/A  AllowAny          95         128              0
10.20.37.27       10.239.30.155     28286        135      6     0  Microsoft DFSR (Distributed File System Replication)  ESTABLISHED  AllowAny         388         540              0
10.20.21.205      10.239.30.155     51947        445      6     0                                                dcerpc       CLOSED  AllowAny        9751       15251             19
10.239.30.152       10.71.50.53     58575         53     17     0                                                   dns          N/A  AllowAny          75         272              0
10.239.30.24     51.104.167.255     60905        443      6     0                                   windows_marketplace      CLOSING  AllowAny        2150        3754            110
10.239.30.17      165.160.32.86     54186        443      6     0                                                   ssl  ESTABLISHED  AllowAny        3412        7328              0
10.20.37.49       10.239.30.155     65376      65352      6     0                                                dcerpc  ESTABLISHED  AllowAny       43545       45430           3291
10.239.30.23     147.161.249.80     56762       7680      6     0                                                   tcp       CLOSED  AllowAny         213          92              0
10.239.30.152       10.71.50.53     59041         53     17     0                                                   dns          N/A  AllowAny          86         160              0
10.239.30.157      10.104.61.84     44535        389     17     0                                                  ldap          N/A  AllowAny         111           0              0
10.239.30.24       40.101.80.18     61237        443      6     0                                             office365      CLOSING  AllowAny       22375       29215            106
10.239.30.24     201.159.221.67     61543        443      6     0                                                HTTP/2  ESTABLISHED  AllowAny        1594        6636             27
10.239.30.115     52.232.19.237     63133        443      6     0                                         windows_azure  ESTABLISHED  AllowAny      441444      326902           6861
SRC_IP                  DEST_IP  SRC_PORT  DEST_PORT  PROTO  DSCP                                                   APP    TCP_STATE      RULE  BYTES_SENT  BYTES_RCVD  DURATION_SECS
10.239.30.154      10.23.112.56     60139       5508      6     0                                                   ssl      CLOSING  AllowAny        2994        2984              0
10.239.30.24      40.108.241.27     61174        443      6     0                                     sharepoint_online       CLOSED  AllowAny        1058        6081             67
