top - 09:25:50 up 15 days, 19:09,  0 users,  load average: 0.46, 0.45, 0.41
Tasks: 274 total,   4 running, 211 sleeping,   0 stopped,   0 zombie
Cpu(s):  6.1%us,  2.8%sy,  0.0%ni, 91.0%id,  0.1%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   8015460k total,  4252740k used,  3762720k free,   103768k buffers
Swap:        0k total,        0k used,        0k free,   766860k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
17207 root     -21 -10 72.8g 1.8g 114m S    0 23.6 103:46.91 ip_common_bh_0     
17209 root     -21 -10 72.8g 1.8g 114m S    0 23.6  12:50.68 ipv4_bh_tcp_syn    
17210 root     -21 -10 72.8g 1.8g 114m S    0 23.6   0:04.98 edged              
17211 root      10 -10 72.8g 1.8g 114m S    0 23.6   0:00.16 edged              
17212 root     -21 -10 72.8g 1.8g 114m S    0 23.6  30:49.53 async_fc           
17213 root     -21 -10 72.8g 1.8g 114m S    0 23.6   3:07.98 global_async_th    
17214 root     -21   0 72.8g 1.8g 114m S    0 23.6   0:03.00 ge3.arp            
17632 root     -21 -10 72.8g 1.8g 114m S    0 23.6   0:00.00 edged              
17636 root     -21 -10 72.8g 1.8g 114m S    0 23.6   2:04.07 tun.rx             
17637 root     -21 -10 72.8g 1.8g 114m S    0 23.6   0:52.43 edged-mon-th       
18110 root     -21   0 72.8g 1.8g 114m S    0 23.6  13:58.18 netflow            
18977 root     -21 -10 72.8g 1.8g 114m S    0 23.6   0:03.09 ge4.arp            
16337 root      20   0 12572 9428 4668 S    0  0.1   3:13.33 snmpd              
16791 root      10 -10  157m 9668 3900 S    0  0.1   0:46.14 bgpd               
16792 root      10 -10  157m 9668 3900 S    0  0.1   0:00.00 bgpd_io            
16793 root      10 -10  157m 9668 3900 S    0  0.1   0:00.00 bgpd_ka            
16799 root      10 -10  9552 5440 3180 S    0  0.1   0:51.18 ospfd              
16805 root      10 -10  9244 4324 2188 S    0  0.1   0:31.76 pimd               
16811 root     -21 -10  7912 3340 2184 S    0  0.0   0:30.71 bfdd               
16817 root      10 -10  7416 2864 1944 S    0  0.0   3:49.90 watchfrr           
18637 root      20   0 17444  14m 6468 S    0  0.2  17:27.11 snmpagent.py       
18638 root      20   0 30304  25m 8748 S    0  0.3  45:39.30 l7_health_check    
18908 localui   20   0  6568 5392 4752 S    0  0.1   0:19.32 lighttpd           
19033 root      20   0 16808  13m 6512 S    0  0.2   4:28.58 snmpagent.py       
19043 root      20   0 16808  13m 6452 S    0  0.2   4:03.44 snmpagent.py       
22040 root      20   0     0    0    0 I    0  0.0   0:02.18 kworker/u8:0       
22848 root      20   0 16568  13m 6392 S    0  0.2   0:03.24 snmpagent.py       
22856 root      20   0 16564  13m 6444 S    0  0.2   0:06.14 snmpagent.py       
23238 root      20   0 16560  13m 6448 S    0  0.2   0:13.28 snmpagent.py       
23758 root      20   0     0    0    0 I    0  0.0   0:00.08 kworker/0:1        
24183 root      20   0     0    0    0 I    0  0.0   0:01.28 kworker/u8:2       
28182 root      20   0     0    0    0 I    0  0.0   0:14.80 kworker/3:0        
30735 root      20   0     0    0    0 I    0  0.0   0:00.00 kworker/1:0        

