TYPE            OSIP            ODIP  OSPORT  ODPORT  OPROTO           MSIP           MDIP  MSPORT  MDPORT  MPROTO  SEGID  REFCNT
DNAT   10.239.31.249  165.225.206.48   41807      80     TCP  10.239.31.249  165.225.26.40   41807      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   34077      80     TCP    192.168.0.1  165.225.26.40   34077      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   35145      80     TCP  10.239.31.249  165.225.26.40   35145      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   37123      80     TCP  10.239.31.249  165.225.26.40   37123      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   41235      80     TCP    192.168.0.1  165.225.26.40   41235      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   54471      80     TCP  10.239.31.249  165.225.26.40   54471      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   46851      80     TCP    192.168.0.1  165.225.26.40   46851      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   51315      80     TCP  10.239.31.249  165.225.26.40   51315      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   59689      80     TCP    192.168.0.1  165.225.26.40   59689      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   43081      80     TCP  10.239.31.249  165.225.26.40   43081      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   45079      80     TCP  10.239.31.249  165.225.26.40   45079      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   43153      80     TCP  10.239.31.249  165.225.26.40   43153      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   58001      80     TCP    192.168.0.1  165.225.26.40   58001      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   39007      80     TCP  10.239.31.249  165.225.26.40   39007      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   38523      80     TCP    192.168.0.1  165.225.26.40   38523      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   53871      80     TCP  10.239.31.249  165.225.26.40   53871      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   53159      80     TCP    192.168.0.1  165.225.26.40   53159      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   42855      80     TCP  10.239.31.249  165.225.26.40   42855      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   36751      80     TCP  10.239.31.249  165.225.26.40   36751      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   38337      80     TCP    192.168.0.1  165.225.26.40   38337      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   37309      80     TCP    192.168.0.1  165.225.26.40   37309      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   58189      80     TCP  10.239.31.249  165.225.26.40   58189      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   48743      80     TCP    192.168.0.1  165.225.26.40   48743      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   60919      80     TCP  10.239.31.249  165.225.26.40   60919      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   43551      80     TCP    192.168.0.1  165.225.26.40   43551      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   59743      80     TCP    192.168.0.1  165.225.26.40   59743      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   60543      80     TCP  10.239.31.249  165.225.26.40   60543      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   48935      80     TCP    192.168.0.1  165.225.26.40   48935      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   36485      80     TCP  10.239.31.249  165.225.26.40   36485      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   53405      80     TCP    192.168.0.1  165.225.26.40   53405      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   44839      80     TCP  10.239.31.249  165.225.26.40   44839      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   49777      80     TCP    192.168.0.1  165.225.26.40   49777      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   43117      80     TCP  10.239.31.249  165.225.26.40   43117      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   42939      80     TCP    192.168.0.1  165.225.26.40   42939      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   56651      80     TCP  10.239.31.249  165.225.26.40   56651      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   57739      80     TCP    192.168.0.1  165.225.26.40   57739      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   47409      80     TCP  10.239.31.249  165.225.26.40   47409      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   58515      80     TCP  10.239.31.249  165.225.26.40   58515      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   53131      80     TCP  10.239.31.249  165.225.26.40   53131      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   51181      80     TCP  10.239.31.249  165.225.26.40   51181      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   40379      80     TCP    192.168.0.1  165.225.26.40   40379      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   46499      80     TCP    192.168.0.1  165.225.26.40   46499      80     TCP      1       2
