FID        SECURE  SEGID     FDSN  MAX_RECV_FDSN  FDSN_READ  LAST_LATE_FDSN         SRC_IP          DEST_IP  SRC_PORT  DEST_PORT  PROTO  DSCP  PRIORITY                      APPLICATION                                 APP_CLASS   TRAFFIC-TYPE                                 ROUTE  ROUTE-POL     LINK-POL               BIZ-POL      NH-ID    LINK-ID               FLAGS1  VERSION    SRC            ADDR              SR              DR  FLOW AGE MS  IDLE TIME MS  CBH-FLOW  DROPS
43225072        1      0        8             13         13               0   10.239.30.24     10.71.122.53     60911        443      6     0    normal                     APP_SSL(199)           APP_CLASS_TUNNELING_AND_VPN(18)  transactional               Branch to Branch Direct    gateway  loadbalance     Tunneling and VPN  68745f57-        N/A    0x48802800000000L        1  local  0x7f94a402b500  0x7f948e584170  0x7f948e5ce080       257462        257263         0      0
43225195        0      0        0              0          0               0   10.239.30.58    52.39.184.169     49753       9930     17     0    normal                     APP_WTP(226)             APP_CLASS_NETWORK_SERVICE(13)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-           0xa000000L        1  local  0x7f94a42a4c30  0x7f948e584170  0x7f948e5845c0       238034        237866         0      0
43225060        1      0        1              1          1               0  10.239.30.152     10.251.52.10     59272         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance       Network Service  68745f57-        N/A     0x8002800000000L        1  local  0x7f9438022cc0  0x7f948e584170  0x7f948e5ce7b0       258909        258794         0      0
43227396        0      0        0              0          0               0   10.239.30.58    52.39.184.169     58411       9930     17     0    normal                     APP_WTP(226)             APP_CLASS_NETWORK_SERVICE(13)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-           0xa000000L        1  local  0x7f9433707a10  0x7f948e584170  0x7f948e5845c0         6236          6064         0      0
43225047        0      0       11              9          9               0  10.239.31.249   35.157.214.226     59805        443      6     0      high         APP_VELOCLOUD_MGMT(4095)                   APP_CLASS_VELOCLOUD(20)  transactional                     Cloud via Gateway    gateway  loadbalance  VeloCloud Management  157f9142-        N/A      0x800100000000L        1  local  0x7f94a40a4920  0x7f948e585700  0x7f948e5842e0       261196        261041         0      0
43227358        0      1        0              0          0               0    192.168.0.1   165.225.206.48     37619         80      6     0      high                     APP_HTTP(67)                   APP_CLASS_VELOCLOUD(20)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance  VeloCloud Management        N/A  c9e3c5a5-  0x804080000a000000L        1  local  0x7f94a45b2d80  0x7f948e584b80  0x7f948e584450        10736         10713         0      0
43226900        0      0        0              0          0               0  10.239.31.249   165.225.206.48     60107         80      6     0      high                     APP_HTTP(67)                   APP_CLASS_VELOCLOUD(20)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance  VeloCloud Management        N/A  c9e3c5a5-  0x804080000a000000L        1  local  0x7f94a52e1500  0x7f948e585700  0x7f948e5842e0        71425         71403         0      0
43225321        1      0        1              0          0               0  10.239.30.157        10.10.1.5     65407        389     17     0    normal                    APP_LDAP(100)               APP_CLASS_AUTHENTICATION(3)  transactional               Branch to Branch Direct    gateway  loadbalance        Authentication  68745f57-        N/A     0x8002800000001L        1  local  0x7f94a4011ff0  0x7f948e584170  0x7f948e5ce7b0       222600        222600         0      0
43227007        0      0        0              0          0               0  10.239.31.178   216.58.208.110     61958        443      6     0    normal              APP_GOOGLE_GEN(943)                         APP_CLASS_WEB(19)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4000000a000000L        1  local  0x7f94a42a7aa0  0x7f948e584170  0x7f948e5845c0        54667          9558         0      0
43224936        0      0        0              0          0               0   10.239.30.24     2.18.230.193     60900        443      6     0    normal    APP_WINDOWS_MARKETPLACE(1111)                         APP_CLASS_WEB(19)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4080000a000000L        1  local  0x7f943800ecb0  0x7f948e584170  0x7f948e5842e0       272380        163752         0      0
43225130        0      0        0              0          0               0   10.239.30.16     52.98.214.82     50061        443      6     0    normal                APP_OUTLOOK(1478)         APP_CLASS_BUSINESS_APPLICATION(4)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4080000a000000L        1  local  0x7f94a412bb00  0x7f948e584170  0x7f948e5842e0       248209         53609         0      0
43226846        1      0        1              0          0               0  10.239.30.152        10.9.0.26     59671         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance       Network Service  68745f57-        N/A     0x8002800000001L        1  local  0x7f9416e339c0  0x7f948e584170  0x7f948e5ce7b0        82449         82449         0      0
43227319        0      1        0              0          0               0    192.168.0.1    165.225.26.44     42233         80      6     0      high                     APP_HTTP(67)                   APP_CLASS_VELOCLOUD(20)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance  VeloCloud Management        N/A  00000000-  0x800000000a000000L        1  local  0x7f94194f0ee0  0x7f948e584b80  0x7f948e584450        16783         15738         0      2
43226251        1      0        0             14         14               0  10.239.30.177     10.71.114.60       161      25150     17     0    normal                    APP_SNMP(190)                  APP_CLASS_MANAGEMENT(11)  transactional               Branch to Branch Direct    gateway  loadbalance          User Default  68745f57-        N/A     0x8002802000000L        1   peer  0x7f93f80c3330  0x7f948e584170  0x7f948e5ce080       135909        110216         0      0
43216239        0      0        0              0          0               0  10.239.31.178   18.158.134.131     50410        443      6     0    normal                     APP_SSL(199)           APP_CLASS_TUNNELING_AND_VPN(18)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4000000a000000L        1  local  0x7f9423fdb6c0  0x7f948e584170  0x7f948e5842e0      1303645         13521         0      0
43225894        0      0        0              0          0               0   10.239.30.24    88.221.180.70     61184         80      6     0    normal                    APP_OCSP(330)         APP_CLASS_BUSINESS_APPLICATION(4)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4080000a000000L        3  local  0x7f9423fe2db0  0x7f948e584170  0x7f948e5845c0       163512         55098         0      0
