"name","u_node_id","ip_address","hardware_status","operational_status"
"0027043C71EF","CAKAM-AAES-ANIRA (00:27:04:3C:71:EF)","10.237.132.1","Installed","Operational"
"0027043C71F9","CAKEM-AAES-ANIRA (00:27:04:3C:71:F9)","10.237.128.1","Installed","Operational"
"0027043C7CCB","CALAS-AMER-ANIRA (00:27:04:3C:7C:CB)","10.154.53.1","Installed","Operational"
"0027043C803B","CABUR-EMEA-ANIRA (00:27:04:3C:80:3B)","10.244.148.1","Installed","Operational"
"0027043C83D3","UKBAS-HID-ANIRA (00:27:04:3C:83:D3)","10.103.128.251","Installed","Operational"
"0027043C92FB","PTPOR-AAES-ANIRA (00:27:04:3C:92:FB)","10.248.28.1","Installed","Operational"
"0027043D777F","USKEW-AMER-ANIRA (00:27:04:3D:77:7F)","10.34.86.1","Installed","Operational"
"0027043D79CD","USPEH-AAES-ANIRA (00:27:04:3D:79:CD)","10.236.116.1","Installed","Operational"
"0027043D79D7","USPRT-AAES-ANIRA (00:27:04:3D:79:D7)","10.63.21.1","Installed","Operational"
"0027043D79E1","USRID-AAES-ANIRA (00:27:04:3D:79:E1)","10.103.20.1","Installed","Operational"
"0027043D79EB","USRMD-AAES-ANIRA (00:27:04:3D:79:EB)","10.17.13.248","Installed","Operational"
"0027043D79FF","USNAS-AAES-ANIRA (00:27:04:3D:79:FF)","10.17.9.248","Installed","Operational"
"0027043D7BD5","USLUB-AAES-ANIRA (00:27:04:3D:7B:D5)","10.17.34.248","Installed","Operational"
"0027043D7BDF","USKNX-AAES-ANIRA (00:27:04:3D:7B:DF)","10.17.18.248","Installed","Operational"
"0027043D7BE9","USFRM-AAES-ANIRA (00:27:04:3D:7B:E9)","10.17.71.248","Installed","Operational"
"0027043D7BF3","USHIC-AAES-ANIRA (00:27:04:3D:7B:F3)","10.237.181.1","Installed","Operational"
"0027043D7C07","USGRE-AAES-ANIRA (00:27:04:3D:7C:07)","10.13.94.2","Installed","Operational"
"0027043D7C11","USELR-AAES-ANIRA (00:27:04:3D:7C:11)","10.17.24.248","Installed","Operational"
"0027043D7CB1","USRLG-AAES-ANIRA (00:27:04:3D:7C:B1)","10.234.240.1","Installed","Operational"
"0027043D7CC5","USNSH-AAES-ANIRA (00:27:04:3D:7C:C5)","10.236.127.1","Installed","Operational"
"0027043D7CE3","USRAL-AAES-ANIRA (00:27:04:3D:7C:E3)","10.17.17.248","Installed","Operational"
"0027043D7DD3","USELO-AAES-ANIRA (00:27:04:3D:7D:D3)","10.34.197.1","Installed","Operational"
"0027043D7DDD","USCHN-AAES-ANIRA (00:27:04:3D:7D:DD)","10.236.120.1","Installed","Operational"
"0027043D85E9","USBRS-AAES-ANIRA (00:27:04:3D:85:E9)","10.17.59.248","Installed","Operational"
"0027043D85FD","USCEL-AAES-ANIRA (00:27:04:3D:85:FD)","10.17.21.248","Installed","Operational"
"0027043D8607","USBLU-AAES-ANIRA (00:27:04:3D:86:07)","10.17.25.248","Installed","Operational"
"0027043D8611","USADD-AAES-ANIRA (00:27:04:3D:86:11)","10.17.56.249","Installed","Operational"
"0027043D8675","USSHA-AAES-ANIRA (00:27:04:3D:86:75)","10.17.140.3","Installed","Operational"
"0027043D86CF","USHRR-HOSP-ANIRA (00:27:04:3D:86:CF)","10.103.56.1","Installed","Operational"
"0027043D87FB","USNJW-EMEA-ANIRA (00:27:04:3D:87:FB)","10.253.208.1","Installed","Operational"
"0027043DB0FF","CNSUZ-AAES-ANIRA (00:27:04:3D:B0:FF)","10.249.104.4","Installed","Operational"
"0027043DB4AB","CNKUN-AAES-ANIRA (00:27:04:3D:B4:AB)","10.70.188.6","Installed","Operational"
"0027043DB4B5","CNSHH-AAES-ANIRA (00:27:04:3D:B4:B5)","10.34.125.1","Installed","Operational"
"0027043DB5AF","CNNAN-AAES-ANIRA (00:27:04:3D:B5:AF)","10.34.127.2","Installed","Operational"
"0027043DB6E5","CNCHN-AAES-ANIRA (00:27:04:3D:B6:E5)","10.34.128.1","Installed","Operational"
"0027043DB721","CNSHE-AAES-ANIRA (00:27:04:3D:B7:21)","10.34.126.1","Installed","Operational"
"0027043DBA41","CNSHN-AMER-ANIRA (00:27:04:3D:BA:41)","10.104.6.1","Installed","Operational"
"0027043DBC67","TRISA-AAES-ANIRA (00:27:04:3D:BC:67)","10.34.165.1","Installed","Operational"
"0027043DBCA3","TRKOC-AAES-ANIRA (00:27:04:3D:BC:A3)","10.34.59.1","Installed","Operational"
"0027043DBCAD","TRTUZ-AAES-ANIRA (00:27:04:3D:BC:AD)","10.253.88.1","Installed","Operational"
"0027043DBCB7","TRIST-AAES-ANIRA (00:27:04:3D:BC:B7)","10.253.84.1","Installed","Operational"
"0027043DBF87","INEMB-HID-ANIRA (00:27:04:3D:BF:87)","10.40.15.2","Installed","Operational"
"0027043DBF91","INBLR-HID-ANIRA (00:27:04:3D:BF:91)","10.254.5.251","Installed","Operational"
"0027043DC42D","PTLIS-HOSP-ANIRA (00:27:04:3D:C4:2D)","10.241.16.1","Installed","Operational"
"0027043DC455","BELIE-AAES-ANIRA (00:27:04:3D:C4:55)","10.129.236.3","Installed","Operational"
"0027043DC76B","FRCES-AAES-ANIRA (00:27:04:3D:C7:6B)","10.154.21.6","Installed","Operational"
"0027043DC94B","FRLEP-AAES-ANIRA (00:27:04:3D:C9:4B)","10.104.100.6","Installed","Operational"
"0027043DCFF9","MYPEN-APAC-ANIRA (00:27:04:3D:CF:F9)","10.245.252.1","Installed","Operational"
"0027043DD0A3","MYPET-AAES-ANIRA (00:27:04:3D:D0:A3)","10.34.22.1","Installed","Operational"
"0027043DD0B7","MYJOH-APAC-ANIRA (00:27:04:3D:D0:B7)","10.245.248.1","Installed","Operational"
"0027043DD0E9","MYKUB-APAC-ANIRA (00:27:04:3D:D0:E9)","10.245.244.3","Installed","Operational"
"0027043DD585","UKSHE-AAES-ANIRA (00:27:04:3D:D5:85)","10.70.70.3","Installed","Operational"
"0027043DDC15","NLGOR-HOSP-ANIRA (00:27:04:3D:DC:15)","10.13.98.1","Installed","Operational"
"0027043DDD0F","PTLEC-EMEA-ANIRA (00:27:04:3D:DD:0F)","10.248.180.250","Installed","Operational"
"0027043DDD19","PLGLO-AAES-ANIRA (00:27:04:3D:DD:19)","10.34.154.1","Installed","Operational"
"0027043DDD23","PLZIL-AAES-ANIRA (00:27:04:3D:DD:23)","10.70.128.1","Installed","Operational"
"0027043DDD2D","PLMIK-EMEA-ANIRA (00:27:04:3D:DD:2D)","10.132.6.1","Installed","Operational"
"0027043DDD41","ROHUN-AAES-ANIRA (00:27:04:3D:DD:41)","10.70.72.3","Installed","Operational"
"0027043DDD4B","PLWAE-AAES-ANIRA (00:27:04:3D:DD:4B)","10.70.50.3","Installed","Operational"
"0027043DDD55","NLBER-HOSP-ANIRA (00:27:04:3D:DD:55)","10.34.80.1","Installed","Operational"
"0027043DDD5F","ROBUC-HOSP-ANIRA (00:27:04:3D:DD:5F)","10.34.149.1","Installed","Operational"
"0027043DDD69","PLKAT-AAES-ANIRA (00:27:04:3D:DD:69)","10.34.72.1","Installed","Operational"
"0027043DDDD7","HUBUG-AAES-ANIRA (00:27:04:3D:DD:D7)","10.249.152.1","Installed","Operational"
"0027043DDDF5","NLEDE-AAES-ANIRA (00:27:04:3D:DD:F5)","10.249.156.5","Installed","Operational"
"0027043DDDFF","NLBAR-AAES-ANIRA (00:27:04:3D:DD:FF)","10.19.0.10","Installed","Operational"
"0027043DDE8B","PTCHA-AAES-ANIRA (00:27:04:3D:DE:8B)","10.249.220.1","Installed","Operational"
"0027043DDE9F","IESHA-HID-ANIRA (00:27:04:3D:DE:9F)","10.103.52.252","Installed","Operational"
"0027043DDEEF","DKHOB-AAES-ANIRA (00:27:04:3D:DE:EF)","10.70.28.3","Installed","Operational"
"0027043DDEF9","DEERK-AAES-ANIRA (00:27:04:3D:DE:F9)","10.104.172.3","Installed","Operational"
"0027043DDF67","DEWEN-AAES-ANIRA (00:27:04:3D:DF:67)","10.70.39.3","Installed","Operational"
"0027043DDF71","ESMAD-AAES-ANIRA (00:27:04:3D:DF:71)","10.249.204.9","Installed","Operational"
"0027043DDF7B","DEOBE-AAES-ANIRA (00:27:04:3D:DF:7B)","10.34.160.1","Installed","Operational"
"0027043DDF85","ESBAS-AAES-ANIRA (00:27:04:3D:DF:85)","10.70.222.1","Installed","Operational"
"0027043DDF8F","SESKE-AAES-ANIRA (00:27:04:3D:DF:8F)","10.70.62.3","Installed","Operational"
"0027043DDF99","SELID-AAES-ANIRA (00:27:04:3D:DF:99)","10.34.44.1","Installed","Operational"
"0027043DDFA3","ESMAT-AAES-ANIRA (00:27:04:3D:DF:A3)","10.34.164.1","Installed","Operational"
