"name","location.u_site_id","u_node_id"
"0027043AA5B5","COCAR","COCAR-AMER-ANIRA (00:27:04:3A:A5:B5)"
"0027043AA691","BRCAM","BRCAM-AMER-ANIRA (00:27:04:3A:A6:91)"
"0027043AA975","COBOG","COBOG-AMER-ANIRA (00:27:04:3A:A9:75)"
"0027043AAADD","BRSAL","BRSAL-AMER-ANIRA (00:27:04:3A:AA:DD)"
"0027043AAD17","ROBUA","ROBUA-AAES-ANIRA (00:27:04:3A:AD:17)"
"0027043AAFDD","CAASH","CAASH-AMER-ANIRA (00:27:04:3A:AF:DD)"
"0027043AB005","CACAL","CACAL-AAES-ANIRA (00:27:04:3A:B0:05)"
"0027043AB1A9","SESHQ","SESHQ-AAAB-ANIRA (00:27:04:3A:B1:A9)"
"0027043AB5AF","SENOR","SENOR-HOSP-ANIRA (00:27:04:3A:B5:AF)"
"0027043AB613","AUAUB","AUAUB-APAC-ANIRA (00:27:04:3A:B6:13)"
"0027043ABB1D","AUPER","AUPER-APAC-ANIRA (00:27:04:3A:BB:1D)"
"0027043ABBDB","PLDOB","PLDOB-EMEA-ANIRA (00:27:04:3A:BB:DB)"
"0027043ABE6F","AUDAN","AUDAN-AAES-ANIRA (00:27:04:3A:BE:6F)"
"0027043AC5C7","SGSIA","SGSIA-APAC-ANIRA (00:27:04:3A:C5:C7)"
"0027043AC7C5","USLVS","USLVS-AAES-ANIRA (00:27:04:3A:C7:C5)"
"0027043ACA8B","USATN","USATN-AAES-ANIRA (00:27:04:3A:CA:8B)"
"0027043ACD47","USORD","USORD-AAES-ANIRA (00:27:04:3A:CD:47)"
"0027043ACDA1","USJCK","USJCK-AAES-ANIRA (00:27:04:3A:CD:A1)"
"0027043ACE2D","USMOC","USMOC-AAES-ANIRA (00:27:04:3A:CE:2D)"
"0027043ACE73","USABQ","USABQ-AAES-ANIRA (00:27:04:3A:CE:73)"
"0027043AD0D5","USTAL","USTAL-AAES-ANIRA (00:27:04:3A:D0:D5)"
"0027043AD0F3","USATT","USATT-AAES-ANIRA (00:27:04:3A:D0:F3)"
"0027043AD297","USBUT","USBUT-AAES-ANIRA (00:27:04:3A:D2:97)"
"0027043AD5F3","USPOR","USPOR-AAES-ANIRA (00:27:04:3A:D5:F3)"
"0027043ADA35","USJAC","USJAC-AAES-ANIRA (00:27:04:3A:DA:35)"
"0027043AEBA1","USTMP","USTMP-AAES-ANIRA (00:27:04:3A:EB:A1)"
"0027043AED63","ESBAH","ESBAH-HOSP-ANIRA (00:27:04:3A:ED:63)"
"0027043AEDEF","LTVIL","LTVIL-EMEA-ANIRA (00:27:04:3A:ED:EF)"
"0027043AF3CB","FRBLE","FRBLE-AAES-ANIRA (00:27:04:3A:F3:CB)"
"0027043AF46B","FRMON","FRMON-EMEA-ANIRA (00:27:04:3A:F4:6B)"
"0027043AF4D9","VNHOC","VNHOC-APAC-ANIRA (00:27:04:3A:F4:D9)"
"0027043AF623","ITIBM","ITIBM-EMEA-ANIRA (00:27:04:3A:F6:23)"
"0027043BA1A7","NZSYB","NZSYB-AAES-ANIRA (00:27:04:3B:A1:A7)"
"0027043BA3C3","SGSIH","SGSIH-HOSP-ANIRA (00:27:04:3B:A3:C3)"
"0027043BA3EB","SGSIE","SGSIE-AAES-ANIRA (00:27:04:3B:A3:EB)"
"0027043BA7D3","NZWEB","NZWEB-AAES-ANIRA (00:27:04:3B:A7:D3)"
"0027043BA7F1","JPTOO","JPTOO-HOSP-ANIRA (00:27:04:3B:A7:F1)"
"0027043BA841","FIESP","FIESP-AAES-ANIRA (00:27:04:3B:A8:41)"
"0027043BAA2B","FRROA","FRROA-AAES-ANIRA (00:27:04:3B:AA:2B)"
"0027043BACFB","FRALT","FRALT-AAES-ANIRA (00:27:04:3B:AC:FB)"
"0027043BAE13","NOOSL","NOOSL-AAES-ANIRA (00:27:04:3B:AE:13)"
"0027043BB205","UKSOT","UKSOT-AAES-ANIRA (00:27:04:3B:B2:05)"
"0027043BB273","UKWIN","UKWIN-AAES-ANIRA (00:27:04:3B:B2:73)"
"0027043BB5C5","UKSOL","UKSOL-HOSP-ANIRA (00:27:04:3B:B5:C5)"
"0027043BB6C9","UKWOK","UKWOK-EMEA-ANIRA (00:27:04:3B:B6:C9)"
"0027043C57AF","USTCA","USTCA-AAES-ANIRA (00:27:04:3C:57:AF)"
"0027043C64BB","USBOC","USBOC-AAES-ANIRA (00:27:04:3C:64:BB)"
"0027043C6E25","USTUL","USTUL-AAES-ANIRA (00:27:04:3C:6E:25)"
"0027043C7069","CATOR","CATOR-AAES-ANIRA (00:27:04:3C:70:69)"
"0027043C71D1","CAPOR","CAPOR-AAES-ANIRA (00:27:04:3C:71:D1)"
"0027043C71DB","CAVAG","CAVAG-AAES-ANIRA (00:27:04:3C:71:DB)"
"0027043C71E5","CAPRI","CAPRI-AAES-ANIRA (00:27:04:3C:71:E5)"
"0027043C71EF","CAKAM","CAKAM-AAES-ANIRA (00:27:04:3C:71:EF)"
"0027043C71F9","CAKEM","CAKEM-AAES-ANIRA (00:27:04:3C:71:F9)"
"0027043C7CCB","CALAS","CALAS-AMER-ANIRA (00:27:04:3C:7C:CB)"
"0027043C803B","CABUR","CABUR-EMEA-ANIRA (00:27:04:3C:80:3B)"
"0027043C83D3","UKBAS","UKBAS-HID-ANIRA (00:27:04:3C:83:D3)"
"0027043C92FB","PTPOR","PTPOR-AAES-ANIRA (00:27:04:3C:92:FB)"
"0027043D777F","USKEW","USKEW-AMER-ANIRA (00:27:04:3D:77:7F)"
"0027043D79CD","USPEH","USPEH-AAES-ANIRA (00:27:04:3D:79:CD)"
"0027043D79D7","USPRT","USPRT-AAES-ANIRA (00:27:04:3D:79:D7)"
"0027043D79E1","USRID","USRID-AAES-ANIRA (00:27:04:3D:79:E1)"
"0027043D79EB","USRMD","USRMD-AAES-ANIRA (00:27:04:3D:79:EB)"
"0027043D79FF","USNAS","USNAS-AAES-ANIRA (00:27:04:3D:79:FF)"
"0027043D7BD5","USLUB","USLUB-AAES-ANIRA (00:27:04:3D:7B:D5)"
"0027043D7BDF","USKNX","USKNX-AAES-ANIRA (00:27:04:3D:7B:DF)"
"0027043D7BE9","USFRM","USFRM-AAES-ANIRA (00:27:04:3D:7B:E9)"
"0027043D7BF3","USHIC","USHIC-AAES-ANIRA (00:27:04:3D:7B:F3)"
"0027043D7C07","USGRE","USGRE-AAES-ANIRA (00:27:04:3D:7C:07)"
"0027043D7C11","USELR","USELR-AAES-ANIRA (00:27:04:3D:7C:11)"
"0027043D7CB1","USRLG","USRLG-AAES-ANIRA (00:27:04:3D:7C:B1)"
"0027043D7CC5","USNSH","USNSH-AAES-ANIRA (00:27:04:3D:7C:C5)"
"0027043D7CE3","USRAL","USRAL-AAES-ANIRA (00:27:04:3D:7C:E3)"
"0027043D7DD3","USELO","USELO-AAES-ANIRA (00:27:04:3D:7D:D3)"
"0027043D7DDD","USCHN","USCHN-AAES-ANIRA (00:27:04:3D:7D:DD)"
"0027043D85E9","USBRS","USBRS-AAES-ANIRA (00:27:04:3D:85:E9)"
"0027043D85FD","USCEL","USCEL-AAES-ANIRA (00:27:04:3D:85:FD)"
"0027043D8607","USBLU","USBLU-AAES-ANIRA (00:27:04:3D:86:07)"
"0027043D8611","USADD","USADD-AAES-ANIRA (00:27:04:3D:86:11)"
"0027043D8675","USSHA","USSHA-AAES-ANIRA (00:27:04:3D:86:75)"
"0027043D86CF","USHRR","USHRR-HOSP-ANIRA (00:27:04:3D:86:CF)"
"0027043D87FB","USNJW","USNJW-EMEA-ANIRA (00:27:04:3D:87:FB)"
"0027043DB0FF","CNSUZ","CNSUZ-AAES-ANIRA (00:27:04:3D:B0:FF)"
"0027043DB4AB","CNKUN","CNKUN-AAES-ANIRA (00:27:04:3D:B4:AB)"
"0027043DB4B5","CNSHH","CNSHH-AAES-ANIRA (00:27:04:3D:B4:B5)"
"0027043DB5AF","CNNAN","CNNAN-AAES-ANIRA (00:27:04:3D:B5:AF)"
"0027043DB6E5","CNCHN","CNCHN-AAES-ANIRA (00:27:04:3D:B6:E5)"
"0027043DB721","CNSHE","CNSHE-AAES-ANIRA (00:27:04:3D:B7:21)"
"0027043DBA41","CNSHN","CNSHN-AMER-ANIRA (00:27:04:3D:BA:41)"
"0027043DBC67","TRISA","TRISA-AAES-ANIRA (00:27:04:3D:BC:67)"
"0027043DBCA3","TRKOC","TRKOC-AAES-ANIRA (00:27:04:3D:BC:A3)"
"0027043DBCAD","TRTUZ","TRTUZ-AAES-ANIRA (00:27:04:3D:BC:AD)"
"0027043DBCB7","TRIST","TRIST-AAES-ANIRA (00:27:04:3D:BC:B7)"
"0027043DBF87","INEMB","INEMB-HID-ANIRA (00:27:04:3D:BF:87)"
"0027043DBF91","INBLR","INBLR-HID-ANIRA (00:27:04:3D:BF:91)"
"0027043DC42D","PTLIS","PTLIS-HOSP-ANIRA (00:27:04:3D:C4:2D)"
"0027043DC455","BELIE","BELIE-AAES-ANIRA (00:27:04:3D:C4:55)"
"0027043DC76B","FRCES","FRCES-AAES-ANIRA (00:27:04:3D:C7:6B)"
"0027043DC94B","FRLEP","FRLEP-AAES-ANIRA (00:27:04:3D:C9:4B)"
"0027043DCFF9","MYPEN","MYPEN-APAC-ANIRA (00:27:04:3D:CF:F9)"
"0027043DD0A3","MYPET","MYPET-AAES-ANIRA (00:27:04:3D:D0:A3)"
"0027043DD0B7","MYJOH","MYJOH-APAC-ANIRA (00:27:04:3D:D0:B7)"
"0027043DD0E9","MYKUB","MYKUB-APAC-ANIRA (00:27:04:3D:D0:E9)"
"0027043DD585","UKSHE","UKSHE-AAES-ANIRA (00:27:04:3D:D5:85)"
"0027043DDC15","NLGOR","NLGOR-HOSP-ANIRA (00:27:04:3D:DC:15)"
