"CNKUN","Changshu (133 Huangpu River Road)","Tim Dang","Tim Dang"
"MXMAL","Tamaulipas","",""
"AUMAR","Marleston, SA (South Rd)","Brad Rainsford (inactive)",""
"USMEQ","Mequon, WI (W Eastwood Ct)","Man Lee","Chris Kirwan"
"USVG2","Brecksville (West Snowville Rd)","",""
"ZAGMT","Johannesburg, Gauteng  (Sunrock Close)","",""
"BRSOR","Sorocaba (Av. Jerome Case, 2600)","Larissa Ramos","Danilo Barbosa"
"CAABW","Abbotsford, BC (Queen St)","Melanie Foster","Lawrence Coles"
"AP003","Azure Australia East","",""
"FISAL","Salo (Meriniitynkatu 2)","",""
"USSUS","Sussex, WI (N Corp Cir)","Man Lee","Chris Kirwan"
"UKCAN","Cannock (Progress Dr)","John O'Toole","David Gardner"
"USMIL","Milan, TN (Telecom Dr)","Brent Weeks","Brian Brown"
"USMOE","Monroe, NC (1900 Airport Rd)","Marcus Menasce","John Pereira"
"USBRM","Birmingham, AL (Industrial Ln)","Jason Gibson","Chris Kirwan"
"USWOO","Wood Dale (Balm Court)","Thomas Woody","Chris Kirwan"
"SELAN","Landskrona (Lodjursgatan 10)","J�rgen Petersson",""
"BRVIG","Sao Paulo - SP (Rua Bento Branco de Andr","",""
"AUBRI","Coopers Plains, QLD","Simon Forrester","Luck Tian"
"USNEW","New Haven, CT (110 Sargent Dr)","Pete Wheeler","Brian Dunnuck"
"USSTE","Sterling Forest, NY (Long Meadow Rd)","","Pete Wheeler"
"CNBEA","Beijing (Chaoyang District, MCC Tower, 2","Demon Zhang","Simon Xi (inactive)"
"NZSYB","Christchurch (Hawdon St)","Stephen Truban (inactive)","Stefan.J de Waal"
"GHACC","Accra (806 HP Nyemetei Street)","",""
"DEMAH","Mahlberg (Carl-Benz-Str.)","Matthias Burg","Sergej G�nter"
"DESCH","Schermbeck (Landwehr)","Oliver Pitscher (inactive)","Zahir Mogra"
"AUHOR","Dandenong South, VIC (Kitchen Rd)","Emanuel Pongratz",""
"ESIRA","Irun, Guip�zcoa (Barrio de Ventas)","Gustavo Yenes","Jose Luis Cristobal"
"FRNAR","NARBONNE (1 rue Gustave Eiffel)","Fabien Fraissenet","Arash Mohsen"
"USELO","El Paso, TX (Lomaland Dr)","Pablo Castaneda","Salvador Santos"
"MYJOH","Taman Austin Perdana","Alan San (inactive)","Kenny Cheung (inactive)"
"CNCHE","Foshan (Lianzhong Rd)","Snowy Xia","Ryan Wu"
"USMAI","Springfield, MO (3839 E Mustard Way)","",""
"USMRD","Meridian, ID ( S. Teare Ave)","Jason Gibson","Chris Kirwan"
"CAMON","Montreal (Trans Canada)","Sunny Dhami","Tony Vienneau"
"USLIV","Livonia, MI (Schoolcraft Rd)","Marcus Menasce","John Pereira"
"DEDUS","GSSC Data center Europe Secondary","Michel Humeur","Jens Lindahl"
"USOCP","Chandler (2335 South Ellis Street)","",""
"DEALB","Albstadt (Bildstockstra�e)","Dejan Stojanovic","Christian Kupfer"
"USELP","El Paso, TX (Common Dr)","Jason Gibson","Chris Kirwan"
"SEJAR","J�rf�lla (Datav�gen)","Jyrki Parviainen","Amela Buhic"
"CNSHE","Shenyang (Dadong District, No 22 Pangjia","Eileen Yu","Ryan Wu"
"INDEL","Gurgaon, Haryana (DLF Cyber Terraces)","Hemen Sanghavi","Kenny Cheung (inactive)"
"CZHAS","Ostrava - Poruba","Pavel Hemelik","Kamil Matejka"
"FRSAR","Sars et Rosieres, Lille (Rue de l'Epau)","",""
"EU001","Azure North Europe","",""
"SESHL","H�gersten (V�stberga all�)","","Amela Buhic"
"KRILS","Yangju-si (Gamaksan-ro)","Gilmo Jung","myounghoon kim"
