"SECOP","Kungens Kurva (Ellipsv�gen)","Roberto Urbina","Roberto Urbina"
"USLWR","Lawrence, KS (Greenway Cir)","Rodney Woodson","Chris Kirwan"
"HKKOA","Cheung Sha Wan (King Lam St)","Kenny Cheung (inactive)","Dennis Cheung (inactive)"
"USFRE","Fremont, CA (Dumbarton Cir)","John Milkovich (inactive)",""
"CNWUY","Jinhua (Yongkang, Wuyi)","Hu Zhou","Simon Xi (inactive)"
"CNSHP","Shenzhen (Qinghu Park, Silicon Valley)","",""
"CNSHN","Shenzhen (TCL Int'l E City)","Leo Jiang","Jiagui Chen"
"AUVIC","Bayswater (London Dr)","",""
"FRTOU","Toulouse (1 Rue de l'Auvergne)","Thierry Loche","Romuald Texier (inactive)"
"FIHES","Espoo (Lars Sonckin kaari)","Antti Eronen (inactive)","Ari Ronkainen"
"FIESP","Vantaa (H�rk�haankuja 9)","Stilianos Loizos (inactive)","Aleksi Uotila"
"HUBUG","Budapest (Nagyt�t�nyi �t)","Janos Frast","Jaroslav Mrazek"
"NOTOS","Troms� (Troms�ysundveien)","Jan H�vard Hansen","J�rgen S�tre"
"UKBLA","Blantyre (Hamilton International Park)","Paul Campbell","Patrick Duckles"
"USBLC","Blaine, MN (8838 W 35 W Service Drive)","Jason Gibson","Chris Kirwan"
"FRQUI","Quimper","Patrice Larribe","Bruno Bigot"
"UKOST","Ossett (Wakefield Rd)","",""
"EU901","AWS Frankfurt","",""
"CABUR","Burnaby, BC (Henning Dr)","",""
"AESHA","Sharjah (M2 Warehouse Facility)","",""
"FRNEY","NEYRON (Portes du grand Lyon)","",""
"USPLE","Pleasant Hill (Metro E. Drive)","Thomas Woody","Chris Kirwan"
"USNAS","Nashville, TN (Trousdale Dr)","Jason Gibson","Chris Kirwan"
"BRSOS","Sorocaba(Av. Antonio Bardella, 2650)","",""
"MTBUL","Zejtun (Bulebel Industrial Estate)","",""
"CZPRU","Prague (Krizikova)","",""
"MXCHI","Chihuahua (Col. Las Granjas)","Jason Gibson","Chris Kirwan"
"BRCAM","Campina Grande - Para�ba","Claudia Melo","Danilo Barbosa"
"FISEI","Sein�joki (P�iv�l�nkatu)","",""
"FRCHI","CHILLY MAZARIN (rue Nungesser et Coli)","",""
"DKRIN","Ringe (Krogagervej)","Johannes Jefsen (inactive)","J�rgen Frausing"
"PESAN","Santa Genoveva � Lur�n","",""
"SEKIR","Kiruna (Industriv�gen)","","Amela Buhic"
"SISEN","Sencur (Poslovna cona)","Vedran Dvornik","Kamil Matejka"
"FRBLE","Bl�r� (16 rue Alfred Nobel - ZI)","",""
"USLVE","Las Vegas (2700 E Patrick Ln #17)","",""
"KRSEO","Seoul (10F Gasan Digital 1-ro)","Gilmo Jung","myounghoon kim"
"DKVLV","Herlev (Marielundvej 48)","",""
"USSAA","San Antonio, TX (Macro Dr)","Jason Gibson","Chris Kirwan"
"USDAN","Fort Lauderdale, FL (Powerline Rd)","Joe Bezzina",""
"SELND","Lund (Propellerv�gen)","","Amela Buhic"
"SEMAL","Malm� (Nordenski�ldsgatan)","Michel Humeur","Jens Lindahl"
"MXNUV","Escobedo (Blvd L�pez Portillo)","Jason Gibson","Chris Kirwan"
"ITQUA","Mogliano Veneto (TV)","Claudio Sozzi","Jonathan Heranz (inactive)"
"INCHE","Chennai (Olympia Technology Park)","Gobuchandhar Rangasamy (inactive)","Elavendran Selvaraj"
"CAKEL","Kelowna, BC (Kirschner Rd)","Marcus Menasce","John Pereira"
"USIND","Indianapolis, IN (Zionsville Rd)","Jason Gibson","Chris Kirwan"
"CAREG","Regina, SK (McDonald St)","Marcus Menasce","John Pereira"
"USCLN","Clinton, OK (W Gary Blvd)","Mark Krewall","Brian Brown"
"USSAS","St Rose, LA (James Dr W)","Jason Gibson","Chris Kirwan"
"CZPRA","Praha (Boudn�kova)","Kamil Matejka","David Spudich"
"ROBUC","Bucharest (Octavian Goga Blvd)","Stefan Nedelcu","Valentina Carbunaru"
"USGAR","Garland, TX (Marquis St)","Kevin Thompson","Brian Brown"
"IEGAL","Galway (Baile na hAbhann)","Gerard Melvin","Gobuchandhar Rangasamy (inactive)"
"USDES","Des Moines, IA (NE Industry Dr)","Jason Gibson","Chris Kirwan"
"PLLES","Leszno (ul Magazynowa)","Jakub Papierski","Pawel Wasielewski"
"USHTG","Houston, TX (Greens Parkway)","Matthew Givens (inactive)",""
"FRALT","Altorf (rue Guynemer)","",""
"AUBRO","Brookvale, NSW (Powells Rd, Unit 30)","",""
"USPAL","Palm Beach Gardens, FL (RCA Blvd)","Paul Rudin",""
"UKLWL","Woking (Duke Street)","",""
"USAUS","Austin, TX (Center Ridge Dr)","Gary Circe","Paul Rudin"
"AP001","Azure Asia Southeast","",""
"ITSGP","San Giovanni in Persiceto, BO (Via Bovar","Marco Ruscelloni","Claudio Bellentani (inactive)"
"DKODE","Odense (M�llekajen)","J�rgen Frausing","J�rgen Frausing"
"USTMP","Brandon, FL (Broadway Center Boulevard)","Marcus Menasce","John Pereira"
"USEUL","Euless, TX (Royal Pkwy)","",""
"FROLE","Olemps (impasse de l'Or�e du Bois)","Thierry Loche","Romuald Texier (inactive)"
"USDIX","Dixon, IL (Warp Rd)","Melanie Foster","Lawrence Coles"
"USBOC","Pompano Beach, FL (NW 40th Ct)","Marcus Menasce","John Pereira"
"USTUC","Tucson, AZ (N Oracle Rd)","",""
"USEQX","Ashburn (Filigree Ct)","",""
"USDON","Anaheim, CA (S Sinclair St)","Marcus Menasce","John Pereira"
"SEREB","�rebro (Elementv�gen 12)","","Amela Buhic"
"UKOLY","Olney (Units 11 & 12 Stilebrook Rd)","Zack Goodger",""
"FRSUR","Suresnes (Rez de Jardin RDJ)","Antonio Paladino","Peter Krause"
"MYKUL","Kulai (Jalan l-Park 1/2)","Mohd Zul Shaffik Bin Jasmin","Vimal Kumar G"
"PLPLO","Bielsk (Sp�?dzielcza)","Pawel Wasielewski","Artur Opali?ski"
"PELMA","Lima (Avenida Mariscal La Mar 550)","",""
"CZBRN","Brno (Londynske namesti)","Karel Drapal","Jaroslav Mrazek"
"NOSTG","Stavanger (Auglendsmyr�)","Svein Arne Berg (Inactive)","J�rgen S�tre"
"FRSAR","Sars et Rosieres, Lille (Rue de l'Epau)","",""
"JPOSA","Osaka (Minami Kyuhoujicho)","Yoshio Arita (inactive)","Tomoe Ueda"
"USCHL","Charlotte, NC (Service St)","Kyle Anderson","Chris Kirwan"
"AUSEV","Seven Hills (Prince William Drive)","Robert Watt","Robert Watt"
"TRISA","Istanbul (G�rsel Plaza - Beykoz)","Lutfu Cakil","Jonathan Heranz (inactive)"
"HKUNI","Hong Kong (Cyberport Rd)","",""
"UKWAL","Walsall (Fryers Rd)","John Salt (inactive)",""
"NOFAB","Bergen (Fabriksgaten)","Helge �kland","J�rgen S�tre"
"USTEG","Austin (Smith School Road)","Jason Gibson","Chris Kirwan"
"NZAND","Auckland (89 Gavin Street)","",""
"UKWOL","Wolverhampton (Hilton Rd)","John O'Toole","David Gardner"
"IEUBL","Ballymount (Parkway Business Centre)","Andrew Pritchard","Ross Cameron"
"USMUS","Muskego, WI (Racine Ave)","Man Lee","Chris Kirwan"
"USKNX","Knoxville, TN (Dutch Valley Rd)","Jason Gibson","Chris Kirwan"
"ZAROO","Roodepoort, Gauteng (Nickel St)","",""
"BEBRU","Wemmel (Heide)","Koen Temmerman","Jan Warrot"
"USAUE","Austell, GA (Oak Ridge Parkway)","Marcus Menasce","John Pereira"
"FRROA","Romagnat (rue Enrico FERMI)","",""
"USGRN","Grand Rapids, MI (Talon Ct SE)","",""
"CAWIN","Winnipeg, MB (Golspie St)","Marcus Menasce","John Pereira"
"FIKUO","Kuopio (Maaherrankatu)","",""
"SADAM","Al Khobar (King Khalid Road)","Wail Dino","Zahir Mogra"
"USGRP","Greenville, SC (P and N Drive)","Marcus Menasce","John Pereira"
"AUMIL","Sydney, NSW (Horsley Rd)","Jack Ung","Jason Ngo (inactive)"
"AUQUE","Queanbeyan (Wycombe St)","",""
"ZAJOP","Roodepoort, Gauteng (Progress Rd)","Pat Dix","Tony Petterson"
"USRID","Columbia, SC (Cook Rd Ridgeway)","Marcus Menasce","John Pereira"
"UKNEW","Newton Abbot (Fairfax Rd)","David Gardner","Ross Cameron"
"USDNV","Aurora, CO (E 35th Place)","Jason Gibson","Chris Kirwan"
"ROBUH","Bucharest (Preciziei Ave)","Mihai Cojocaru","Alexandru Voicu"
"ITARZ","Arzano, NA (Via Remo de Feo)","",""
"USSHR","Shreveport, LA (Kansas City Ave)","Jason Gibson","Chris Kirwan"
"NOBIL","Billingstad (Billingstadsletta)","Christopher Aagaard","J�rgen S�tre"
"NLZEV","Zevenbergen (Touwslagerij)","Wim van Baast","Johan Trommelen"
"ITCAR","Origgio (VA)","Claudio Sozzi","Claudio Sozzi"
"USNEE","Needham, MA (Highland Cir)","",""
"MXTIJ","Tijuana, BC (Blvd Diaz Ordaz)","Jason Gibson","Chris Kirwan"
"BGVAR","Varna (Petko Staynov)","Deyan Ivanov","David Spudich"
"NZALB","Albany, Auckland (Armstrong Rd)","Amanpal Singh","Jason Ngo (inactive)"
"INEMB","Bengaluru (1st Stage, Domlur)","Gobuchandhar Rangasamy (inactive)","Jagadish Babu Muniyappa"
"FRSAK","Saint Marcel (rue Denis Papin - ZA des G","",""
"SKSHE","Malacky (Tovarenska)","Jaroslav Fadrny","David Spudich"
"CHFEH","Fehraltorf (Allmendstrasse 24)","Arash Mohsen","Arash Mohsen"
"CNSHW","Shanghai (West Yan'An Rd)","",""
"CAABT","Abbotsford, BC (Mt Lehman Rd)","Amit Parikh (inactive)","Henry Hazzard"
"CNLAN","LangFang (Chuangye Rd)","",""
"JPVIG","Tokyo (Asashi Computer Building)","",""
"ITVAL","Renate, MB (Via Concordia)","Paolo Ballabio","Marco Ruscelloni"
"SEHOS","Landskrona (Lodjursgatan 1)","Magnus Persson","Shelton Videau"
"USEAS","Easton, PA (Conroy PL)","Peggy Marinkovits","Brian Brown"
"USDNV","Denver, CO (Nome St)","Jason Gibson","Chris Kirwan"
"BELID","Liedekerke (Affligemsestraat)","Bjorn De Maeseneer","Bjorn De Maeseneer"
"MXBJX","Leon, GTO (Col. Jardines del Morel)","",""
"AEDIP","Dubai Investment Park 1 (Lorient Gulf Bu","",""
"ESSAC","Sant Cugat (Francesc Vila)","",""
"USSTC","St Charles, MO (Portwest Dr)","Kyle Anderson","Chris Kirwan"
"USLIN","Lindenhurst, NY (Route 109)","",""
"USCIT","City of Industry, CA (E Stafford St)","Byron Rohrbach","Alfonso Ramirez"
"JPTOK","Tokyo (Hamamatsucho Empress Bldg)","Hidetoshi Kasuga","Yoshio Arita (inactive)"
"NOTRL","Trondheim (Nardovegen)","Trond Bechmann (inactive)","J�rgen S�tre"
"INNAV","Navi Mumbai (#1007, Mayur?esh Square)","",""
"DKOST","Odense (St�rmoseg�rdsvej)","",""
"FRAVI","Avignon (Allee des Bouleaux)","Thierry Giniez","Romuald Texier (inactive)"
"HKKCH","Kwai Chung (High Fashion Center)","Henry Wai Ming Yip","Brian Ling"
"UKREA","Reading (Imperial Way)","Paul Zak","Zack Goodger"
"NOSDS","Sandnes","Bjarne Eskeland","Amela Buhic"
"USFMT","Fremont, CA (Kaiser Dr)","",""
"USCON","Concord, NC (Pitts School rd.)","",""
"UKERD","Erdington (Merlin Park)","","David Gardner"
"AUFOR","Sunshine Coast, QLD (Sandalwood Ln)","Jack Ung","Jason Ngo (inactive)"
"FIVAR","Varkaus (Kauppakatu 50)","Antti Eronen (inactive)","Tuomas S�llinen"
"FRLOR","Lormont, Bordeaux (Rue du Courant)","",""
"USPHN","Phoenix, AZ (S 11th Ave)","Jason Gibson","Chris Kirwan"
"USPOR","Portland, OR (NE Airport Way)","Jason Gibson","Chris Kirwan"
"KRINC","Incheon (Geonji-ro, Seo-gu)","Gilmo Jung","myounghoon kim"
"USRLG","Raleigh (1200 Corporation Parkway)","Marcus Menasce","John Pereira"
"CAVAU","Vaughan, ON (Four Valley Dr)","Hooman Shirazi","Tony Vienneau"
"CAMIS","Mississauga (8-7045 Tranmere Drive)","Sunny Dhami","Hooman Shirazi"
"NZWEA","Wellington (Meachen St)","",""
"USSTL","Sterling Heights, MI (6329 Progress Park","Jason Gibson","Chris Kirwan"
"USORN","Orlando, FL (LB McLeod Rd)","Jason Gibson","Chris Kirwan"
"PTLIS","Charneca da Caparica (12B)","Ricardo Dinis","Ivan Fernandez"
"MXNUE","Monterrey (Av Adolfo Lopez Mateos)","Pablo Castaneda","Salvador Santos"
"CZPIL","Pilsen � Koterov (U Privadece)","Lukas Svoboda (inactive)","Jaroslav Mrazek"
"NZAUK","Auckland (Carbine Rd)","Stephen Truban (inactive)","Stefan.J de Waal"
"MXJAL","Guadalajara, Jalisco (Paseo De Las Lomas","Edgar Rosales","Salvador Santos"
"EETAL","Tallinn (Priisle)","Erki Zahvatkin","Kamil Matejka"
"FRNEY","NEYRON (Portes du grand Lyon)","",""
"ROBUA","Bucharest (Bulevardul Tudor Vladimirescu","Silviu Gata","Ralf Weskamp"
"CAMOT","St-Laurent, QC (Paulus)","Man Lee","Chris Kirwan"
"CAVIC","Victoria, BC","",""
"USPHO","Phoenix, AZ (S 51st St)","Don Riney","Larry Geer"
"MXTAM","Matamoros (Av Pedro Cardenas)","Pablo Castaneda","Salvador Santos"
"NOBER","Bergen (Sandvikstorget)","",""
"UGKAM","Kampala (Industrial Area)","",""
"USINT","Indian Trail (139 Business Park Dr.)","Marcus Menasce","John Pereira"
"KRDAE","Daegu (Woram-dong)","Gilmo Jung","myounghoon kim"
"USBUT","Butte, MT (North Parkmont)","Jason Gibson","Chris Kirwan"
"CNSHI","Shanghai (Changyang Rd, Yangpu District)","Jian Zhou","Ryan Wu"
"USBLN","Berlin, CT (Episcopal Rd)","Harley Schaeffer","Pete Wheeler"
"DEMEE","GSSC Data center Europe Primary","Michel Humeur","Jens Lindahl"
"CAREC","Regina, SK (Maxwell Crescent)","Marcus Menasce","John Pereira"
"SEUME","Ume� (Maskingatan)","Torbj�rn Lampa","Amela Buhic"
"USMOO","Monroe (Phil Hargett Ct)","Thomas Woody","Chris Kirwan"
"BEHOU","Houthalen","Vincent De Coen","Josy Stulens"
"USFAI","Fairfield, NJ (Little Falls Rd)","Jason Gibson","Chris Kirwan"
"AUDAN","Dandenong South, VIC (28-30 Quality Driv","Stephen Truban (inactive)","Robert Watt"
"FRSTR","Strasbourg (av. du Gal. de Gaulle)","",""
"BEMOO","Moorsel (Waverstraat)","Sebastien Ricour",""
"USSAC","Sacramento, CA (Power Inn Rd)","",""
"SELUL","Lule� (S�dra Kungsgatan)","","Amela Buhic"
"USMCK","McKinney(Lake Forest Dr)","",""
"FRLEP","Les Pennes Mirabeau (avenue Lamartine - ","",""
"KZALM","Almaty (Zenkova Street Business Center)","David Spudich","David Spudich"
"USFOW","Haltom City, TX (Airport Fwy)","Jason Gibson","Chris Kirwan"
"ESBAB","Barcelona (Calle Plomo)","Jose Luis Cristobal","Gustavo Yenes"
"AM011","Azure Brazil South","",""
"CAMIT","Mississauga(2345 Argentia Rd)","Tony Vienneau","Tony Vienneau"
"AUTOR","Bayswater (Jersey Road)","",""
"FRNOR","Norroy Le Veneur (rue de la Fontaine Cha","",""
"ZAPOL","Polokwane (Cnr Veldspaat St & Kalsiet St","",""
"USCTY","City of Industry, CA (600 Baldwin Park B","Alfonso Ramirez","Angelo Reyes"
"CLSAN","Pudahuel, Santiago (Avda Tranquilo)","Erich Nu�ez","Ariel Musumeci"
"MXGUA","Guadalajara (Av. Vicente Guerrero 224)","Jason Gibson","Chris Kirwan"
"USADD","Addison, IL (S Lombard Rd)","Jason Gibson","Chris Kirwan"
"FIPOO","Espoo (Linnoitustie)","Tuomas S�llinen","Ari Ronkainen"
"CNLEL","Leling (Tingjin Rd)","Xingang Li","Simon Xi (inactive)"
"AM501","Oracle Cloud Americas","",""
"HKKWU","Hong Kong (Hung To Rd, Kwun Tong)","Man Lee","Kimi Zou"
"FRGRE","Grentheville (rue des Fr�res Chappes)","",""
"AUVG2","Sydney (Harris Street)","",""
"AREZE","Buenos Aires (Ferrari)","Corina Prio (Inactive)",""
"AP904","AWS Singapore","",""
"USNWT","Newton, NC (Industrial Dr)","Daniel Gibbs","Brian Brown"
"USAUR","Aurora, CO (Fraser St)","Matthew Valenzuela","Brian Brown"
"CZLAN","Lanskroun (Tovarni)","",""
"SGSIB","Singapore (Toa Payoh North)","Agnes Low","Mun Siang Ooi"
"UKOLS","Olney (Osier Way)","Zack Goodger","Abdul Basit"
"USIRA","Irving, TX (Commerce Dr)","Colin Cooper (inactive)",""
"DKSLA","Slagelse (Mariendals All�)","",""
"ESSON","Son Ferriol (Delegaci�n Baleares)","",""
"AM007","Azure US West","",""
"FRLIE","Lieusaint (avenue Marguerite Perey)","",""
"AUBEN","Melbourne, VIC (Creek St)","Jack Ung","Jason Ngo (inactive)"
"PLGLO","Glowno (Norblina)","Jaroslav Mrazek","Piotr Czerwoniuk"
"THBAA","Bangkok (Pattanakarn Rd)","Maneeratt Tiankul","Kenny Cheung (inactive)"
"DEBLN","Berlin (Attilastra�e)","Christian Kupfer","Christian Kupfer"
"FILAP","Lappeenranta (Myllym�enkatu)","",""
"IENRO","New Ross (Woodbine Business Park)","Kieran Doherty","Alex Collins"
"FIROV","Rovaniemi (Vierustie)","",""
"HUBUD","Budapest (Z�hony utca)","Peter Kalmar","Kamil Matejka"
"SGIDC","GSSC Data center APAC Primary","Kevin Lu(IT)","Tim Yuan"
"SELTU","Eskilstuna (Kungsgatan 67)","Gerhard Sahlberg","Amela Buhic"
"HUDEK","Debrecen (K�gy�hagyma utca 5)","Barna Nagy","Barna Nagy"
"PLWAE","Warsaw (ul. Annopol)","Jaroslav Mrazek","Pawel Pelka"
"RUMOU","Moscow(Entrance No 15, office 417B)","",""
"KRCHE","Cheonan-si (Daeheung 1-gil)","",""
"USSLC","SALT LAKE CITY (2855 SOUTH 1030 WEST)","",""
"FRCES","Cesson S�vign� (Impasse des Charmilles -","",""
"HRMET","Bjelovar (Pakracka ulica)","Pavel Hemelik","Kamil Matejka"
"NLBAR","Barneveld (Hanzeweg 25)","Lex Porsius","Jelle Hoekstra (inactive)"
"FIHEE","Helsinki (K�enkuja)","Milja Sepp�l� (Inactive)","Antti Eronen (inactive)"
"3rd Party","Moerdijk (Transitoweg)","",""
"CHBUR","Burgdorf (Buchmattstrasse)","Ruben Achermann (inactive)","Oliver Krueger"
"MXCHL","Chihuahua (Lateral Ortiz Mena)","",""
"UKREA","Reading (Imperial Way)","",""
"ESOLI","Oliva (Valencia)","Javier Mu�oz (inactive)","Jose Luis Gonzalez (inactive)"
"FILUK","Joensuu (Lukkotie 9)","Maiju Laukkanen","Ari Ronkainen"
"FRMON","Montrouge (avenue Marx Dormoy)","Ludovic Nomblot","Xavier Guillaume"
"USSYR","East Syracuse, NY (Corporate Cir)","Marcus Menasce","John Pereira"
"UKWIN","Winnington (Winnington Ave)","Matthew Glennie","Arash Mohsen"
